Name,ID,Weight,Description,Quote,Quality
The Wafer,5.100.108,1,Most sources of damage that would cause more than one-half heart of damage are reduced to one-half heart instead.,Damage resistance,4
Censer,5.100.387,1,Spawns a familiar which creates a circular aura that slows down enemies and enemy shots inside.,Peace be with you,3
Circle of Protection,5.100.423,1,"Surrounds Isaac with a large white halo that occasionally deals Isaac's tear damage to enemies inside it, and can convert enemy shots into friendly homing tears.",Protect me from myself,2
Crown of Light,5.100.415,1,"+2   Soul Hearts. While Isaac has no empty red hearts, grants 2x damage, increased range, and -0.3 shot speed. Regardless of health, the crown deactivates for the current room when Isaac takes damage.",The untainted gain power,4
Holy Light,5.100.374,1,"Adds a chance to fire holy tears, which will create a damaging light beam in the area if they hit an enemy.",Holy death shot,3
Immaculate Conception,5.100.413,1,"Upon picking up a certain amount of health, spawn a permanent angelic familiar.",Feed them love,1
Seraphim,5.100.390,1,Spawns an angel familiar who follows Isaac and fires homing tears which deal 10 damage and have 75% shot speed.,Sworn friend,3
Spear of Destiny,5.100.400,1,"In addition to tears, Isaac holds a spear in front of him which deals contact damage equal to 2x his tear damage, and occasionally inflicts fear.",Your destiny,2
Sworn Protector,5.100.363,1,"Spawns an orbital familiar which does 105 damage per second and attracts and blocks enemy shots. Upon blocking 10 shots in a room, it drops an   Eternal Heart.",Protective friend,3
7 Seals,5.100.526,1,Spawns a random Harbinger familiar that changes every 10 seconds. Harbingers have different behaviors and spawn themed Locusts.,Lil harbingers!,2
Angelic Prism,5.100.528,1,Spawns an orbital familiar with a large orbital radius. Tears that pass through the prism split into four multi-colored tears.,Eclipsed by the moon,3
Duality,5.100.498,1,"Whenever a  Devil Room or  Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered.",You feel very balanced,1
Eucharist,5.100.499,1,"An  Angel Room door will always spawn after every boss fight, excluding the first floor and floors after  Womb II/ Utero II/ Scarred Womb II.",Peace be with you,3
Glyph of Balance,5.100.464,1,Grants 2   Soul Hearts and modifies drops from Champion monsters based on certain conditions.  Also modifies room clear drops.,A gift from above,2
Lil Delirium,5.100.519,1,Grants a familiar that transforms into another random familiar every 10 seconds.,Delirious friend,2
Trisagion,5.100.533,1,Tears are replaced with piercing white blasts of light that deal less damage but can damage the same enemy multiple times.,Smite thy enemy,3
Act of Contrition,5.100.601,1,Increases tears and grants an   Eternal Heart. Allows  Angel Rooms to appear even if a Devil Deal has been taken before. Reduces the Devil/Angel room chance penalty for taking Red heart damage.,"Tears up, you feel forgiven",3
Blood of the Martyr,5.100.7,1,+1 damage. Isaac shoots blood tears.,DMG up,3
Divine Intervention,5.100.568,1,Double tapping a fire key creates a shield that pushes away enemies and reflects enemy projectiles and lasers.,Double tap shield,2
Hallowed Ground,5.100.543,1,"Spawns a white poop familiar, which turns into a   White Poop when Isaac is hurt. White poop has an aura that increases tear fire rate and can block enemy shots.  The aura also increases damage by 20% and gives homing.",Portable sanctuary,1
Immaculate Heart,5.100.573,1,Adds one Red Heart Container and fully restores health. x1.2 damage multiplier. Isaac will occasionally fire extra tears that orbit around him.,Halo of tears,3
Jesus Juice,5.100.197,1,"+0.5 damage, +0.25 range, +0.5 tear falling speed. +0.5 damage, +1.5 range.",Damage + range up,2
Monstrance,5.100.574,1,Isaac gains an aura that deals damage to enemies inside it.,Purifying light,2
Paschal Candle,5.100.567,1,Gives Isaac a familiar that grants +0.4 Fire Rate for each consecutive room he's cleared without taking damage. The bonus stacks up to five times.,Keep the flame burning,3
Purgatory,5.100.634,1,"While in a room with enemies, spawns cracks on the ground. Walking over these cracks summons ghosts that launch themselves at enemies and explode.",Help from beyond,2
Purity,5.100.407,1,"Boosts one of Isaac's stats depending on the color of the aura around him. The aura disappears upon taking damage and reappears with a random color upon entering a new room. Red boosts damage, blue boosts tears, yellow boosts speed, and orange boosts range.",Aura stat boost,3
Revelation,5.100.643,1,"Grants flight and two   Soul Hearts. In addition to tears, Isaac can charge up and fire a powerful holy laser.",Awaken your faith,4
Salvation,5.100.696,1,Gives Isaac a halo that summons beams of light on enemies inside it. The halo grows larger the more times Isaac has taken damage this floor.,Divine protection,3
Spirit Sword,5.100.579,1,"Instead of tears, Isaac swings a sword. Charging does a spin attack and fires a projectile, and a projectile is sometimes fired with normal swings if Isaac has no empty   Red Heart Containers.",Divine blade,3
Star of Bethlehem,5.100.651,1,"Spawns a star familiar that slowly travels towards the  Boss Room, giving an aura that increases damage and tears and grants homing tears.",Follow the light,3
Stigmata,5.100.138,1,"+0.3 damage, grants one full Red Heart container.  Heals 1 additional   Red Heart.",DMG + HP up,2
Soul Locket,5.100.686,1,Gives Isaac a permanent stat boost whenever he picks up a   Soul Heart.,Power of faith,1
The Stairway,5.100.586,1,Generates a ladder at the start of every floor that leads to a unique  Angel Room shop.,May you get what you came for,3
Book of Virtues,5.100.584,0.5,"On use, spawns a destroyable orbiting wisp familiar that fires tears and deals contact damage. Also acts as a passive item that causes other active items to spawn themed wisps.",Spiritual companionship,3
Sacred Orb,5.100.691,0.5,"Prevents items of quality 0-1 from appearing, and items of quality 2 from appearing 33% of the time, greatly increasing the quality of items received from all item pools. Quest items are unaffected.",Destined for greatness,4
