Name,ID,Weight,Description
Wire Coat Hanger,5.100.32,1,Increases tears by 0.7.
Wooden Spoon,5.100.27,1,Increases speed by 0.3.
Super Bandage,5.100.92,10.5,Grants one full Red Heart container and 2   Soul Hearts.
<3,5.100.15,1,Grants Isaac one Red Heart container and fully restores Isaac's health.
The Halo,5.100.101,1,"Grants one full Red Heart container, +0.3 damage, +0.2 tears, +0.25 range, +0.3 speed, and +0.5 tear falling speed. Grants one full Red Heart container, +0.3 damage, +0.2 tears, +1.5 range, and +0.3 speed. Heals 1 additional   Red Heart."
Little Steven,5.100.100,1,Spawns a familiar who follows Isaac around and fires homing tears.
Magic Mushroom,5.100.12,1,"Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +5.25 Range, and +0.3 Speed, and restores all Health. Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +2.5 Range, and +0.3 Speed, and restores all Health."
Binky,5.100.438,1,"Grants one   Soul Heart, +0.75 tears and decreases Isaac's size."
Crack Jacks,5.100.354,1,Grants one full Red Heart container and drops a random trinket.
Mom's Pearls,5.100.355,1,"+1.25 range, +0.5 tear falling speed, +1 luck. +2.5 range, +1 luck. Grants one   Soul Heart."
Mr. Dolly,5.100.370,1,"+0.7 tears, +5.25 range, +0.5 tear falling speed, Spawns a combination of 3   Red Hearts,   Soul Hearts or   Black Hearts on the floor when picked up. +0.7 tears, +2.5 range, spawns 3 random types of   Hearts on the floor when picked up."
PJs,5.100.428,10.5,Grants 4   Soul Hearts and fully restores Isaac's health.
Dad's Lost Coin,5.100.455,1,"+1.5 range, +1 tear falling speed. Drops a Lucky Penny.+2.5 range. Drops a Lucky Penny."
Divorce Papers,5.100.547,1,"Grants one   Bone Heart, +0.7 tears, spawns a  Mysterious Paper."
Marbles,5.100.538,1,"Spawns 3 random trinkets. Taking damage has a 5% chance to swallow Isaac's currently held trinket, gaining its effect permanently."
Marrow,5.100.541,1,Grants one   Bone Heart and spawns three   Red Hearts.
Midnight Snack,5.100.456,1,Grants one full Red Heart container.  Heals 1 additional   Red Heart.
Belly Button,5.100.458,1,Drops a random trinket. Grants a second trinket slot.
Polydactyly,5.100.454,1,"Allows Isaac to carry two cards, pills, or any combination of both. Spawns one random card, rune, or pill."
A Bar of Soap,5.100.564,1,Gives Isaac +0.5 Tears and +0.2 Shot Speed.
Booster Pack,5.100.624,1,Drops 5 random cards.
Consolation Prize,5.100.644,1,"Increases Isaac's lowest stat and drops either 3   Coins, 1   Bomb, or 1   Key depending on what Isaac has the least of."
Eye Drops,5.100.600,1,"Increases the fire rate in Isaac's left eye, causing his eyes to fire at different rates."
Glass Eye,5.100.730,1,"+0.75 damage, +1 luck."
Stapler,5.100.708,1,"+1 Damage. Prevents Isaac from firing tears from his left eye, like   Cain."
Stye,5.100.731,1,"Tears fired from Isaac's right eye have +28% Damage, +6.5 Range, and -0.3 Shot Speed."
Supper,5.100.707,1,Grants one full Red Heart container. Heals 1 additional   Red Heart.
Tropicamide,5.100.659,1,"+2.5 Range, Increases tear size."
