Name,ID,Weight,Price,Description,Quote,Quality
Judas' Shadow,5.100.311,1,,"Upon death, respawns Isaac as   Dark Judas with two   Black Hearts in the previous room.",Sweet revenge,3
Lil Brimstone,5.100.275,1,,Grants a familiar that charges a thin  Brimstone laser while Isaac is shooting.,Evil friend,2
Lord of the Pit,5.100.82,1,,Grants flight and +0.3 speed.,Demon wings,3
The Mark,5.100.79,1,,"Grants one   Soul Heart, +1 damage, and +0.2 speed. Grants one   Black Heart, +1 damage, and +0.2 speed.",DMG + speed up,3
Missing Page 2,5.100.262,1,,"Grants one   Black Heart. Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room.  Increases the damage of   Black Hearts and  The Necronomicon-like effects by 40.",Evil up. Your enemies will pay!,0
Mom's Knife,5.100.114,1,,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.",Stab stab stab,4
The Pact,5.100.80,1,,"Grants two   Soul Hearts, +0.5 damage, and +0.7 tears. Grants two   Black Hearts, +0.5 damage, and +0.7 tears.",DMG + tears up,3
Pentagram,5.100.51,1,,"+1 damage, increases  Devil Room /  Angel Room chance by 10%.",DMG up,3
Rotten Baby,5.100.268,1,,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.,Infested friend,3
Sacrificial Dagger,5.100.172,1,,"Spawns a dagger orbital familiar, blocking enemy shots and dealing a high amount of damage to enemies in contact.",My fate protects me,2
Sister Maggy,5.100.67,1,,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.,Friends 'till the end,1
Spirit of the Night,5.100.159,1,,Grants spectral tears and flight.,Scary,3
Whore of Babylon,5.100.122,1,,Grants +1.5 Damage and +0.3 Speed whenever Isaac has a   Half Red Heart or less.,Curse up,2
Athame,5.100.408,1,,"When Isaac takes damage, a damaging black ring briefly appears around him. This ring can cause enemies to drop   Black Hearts. After Isaac kills an enemy, adds a luck-based chance to spawn a damaging black ring around them.",Call to the void,3
Betrayal,5.100.391,1,,"Charms all enemies in the room when Isaac takes damage. Enemies are able to damage each other. If an enemy is damaged by another enemy, they will attack that enemy instead of Isaac.",Turn your enemy,1
Black Powder,5.100.420,1,,"Isaac leaves a trail of black powder on the floor. Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it.",Spin the black circle!,1
Cambion Conception,5.100.412,1,,"After taking damage a certain amount of times, a permanent demonic familiar spawns.",Feed them hate,2
Empty Vessel,5.100.409,1,,"Grants two   Black Hearts. While Isaac has no red hearts, grants flight and periodically grants an invincibility shield for a few seconds.",I reward an empty vessel,2
Incubus,5.100.360,1,,"Spawns a demonic familiar that shoots tears identical to Isaac's in terms of damage, tears, and tear effects.",Dark friend,4
Maw of the Void,5.100.399,1,,"Charged by firing for 2.5 seconds and when released, creates a black ring around Isaac that rapidly deals damage.  +1 damage, the ring can cause enemies to drop  Black Hearts.",Consume thy enemy!,3
Multidimensional Baby,5.100.431,1,,Spawns a familiar that will follow Isaac's movements on a 2.5-second delay. Tears that pass through the baby will be doubled and increase in speed.,ydduB Buddy,2
My Shadow,5.100.433,1,,Inflicts fear on all enemies in the room upon taking damage and spawns black friendly Chargers that attack enemies.Spawns a shadow familiar that closely follows behind Isaac. It spawns a black friendly Charger whenever an enemy touches it.,Me! And my shaaaadow!,2
Succubus,5.100.417,1,,"Spawns a flying familiar that bounces around the room with a black aura, dealing rapid damage to any enemies inside it. While standing in the aura, Isaac gains a 1.5x tear damage multiplier.",Damage booster,3
7 Seals,5.100.526,1,,Spawns a random Harbinger familiar that changes every 10 seconds. Harbingers have different behaviors and spawn themed Locusts.,Lil harbingers!,2
Dark Prince's Crown,5.100.442,1,,"When at exactly one   Red Heart, increases tears, range, tear falling speed, and shot speed. When at exactly one   Red Heart, increases fire rate, range, and shot speed.",Loss is power,1
Death's List,5.100.530,1,,Grants a pickup or stat upgrade if all enemies in a room are killed in the order they are marked.,Just hope you're not next...,2
Duality,5.100.498,1,,"Whenever a  Devil Room or  Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered.",You feel very balanced,1
Eye of Belial,5.100.462,1,,"Grants piercing tears. After piercing one enemy, tears start homing and deal double damage.",Possessed tears!,3
Lil Delirium,5.100.519,1,,Grants a familiar that transforms into another random familiar every 10 seconds.,Delirious friend,2
Shade,5.100.468,1,,"Spawns a shadow familiar that follows Isaac's movements on a 1 second delay and deals contact damage to enemies. After dealing enough damage, it is absorbed by Isaac and spawns friendly  Chargers.",It follows,0
2Spooky,5.100.554,1,,Enemies near Isaac are afflicted with fear.,4me,1
Azazel's Rage,5.100.699,1,,"Isaac builds rage every time a room is cleared. After four rooms, fires a large Brimstone laser when entering the next room.",Ancient power,2
Backstabber,5.100.506,1,,Isaac's tears deal double damage and inflict bleeding on enemies if they're facing away from Isaac.,Watch your back!,3
Blood Oath,5.100.569,1,,"Stabs Isaac at the beginning of each floor, draining his   Red Hearts. Increases damage and speed for the floor based on the amount drained.",Bleed me dry,1
Bloody Gust,5.100.695,1,,"The first 6 times Isaac takes damage on a given floor, he gains Speed and Fire Rate for the rest of the floor, up to a maximum of +1.02 and +3.00, respectively.",May your rage bring haste,2
Brimstone Bombs,5.100.646,1,,+5   Bombs. Bombs fire four  Brimstone lasers in the cardinal directions upon exploding.,Demon blast +5 bombs,2
Eye of the Occult,5.100.572,1,,"+1 damage, +2 range, -0.16 shot speed. Isaac's tears can be controlled mid-flight with tear controls.",DMG up + range up + controlled tears,3
False PHD,5.100.654,1,,Converts good pills into bad pills and identifies all pills. Bad pills now have secondary positive effects. Grants one   Black Heart.,Worse pills + evil up,2
Guppy's Eye,5.100.665,1,,"Shows the contents of   Chests,   Fire Places,   Grab Bags, and   Shopkeepers before they're opened/destroyed.",An eye for secrets,2
Hungry Soul,5.100.684,1,,"Enemies have a chance to spawn ghosts on death, which chase and deal contact damage to enemies and explode after a short time.",Out for blood,2
Lil Abaddon,5.100.679,1,,Spawns a familiar that charges a miniature  Maw of the Void attack while Isaac shoots.,Abyssal friend,2
Little Horn,5.100.503,1,,"Adds a chance to fire a piercing tear that instantly kills any enemy that it touches. Adds a chance to fire a tear that summons Big Horn's hand to crush the first enemy it hits, instantly killing monsters or greatly damaging bosses.",Big brother is watching,3
Lusty Blood,5.100.411,1,,Isaac's damage increases for the current room each time he kills an enemy.,Their blood brings rage!,3
Ocular Rift,5.100.606,1,,"Gives Isaac the chance to fire tears that create rifts where they land, which damage nearby enemies and pull in enemies, pickups, and tears/shots from all sources.",Stare into the abyss,3
Ouija Board,5.100.115,1,,Grants spectral tears that travel through obstacles (but not enemies).  +0.5 tears.,Spectral tears + tears up,2
A Pound of Flesh,5.100.672,1,,"Devil deals now cost   Coins,  Shop items now cost health, and consumables in shops are free but surrounded by spikes.",Blood money,1
Purgatory,5.100.634,1,,"While in a room with enemies, spawns cracks on the ground. Walking over these cracks summons ghosts that launch themselves at enemies and explode.",Help from beyond,2
A Quarter,5.100.74,1,,Gives Isaac 25   coins.,+25 coins,0
Sanguine Bond,5.100.692,1,,Spawns a special set of spikes in the  Devil Room. Taking damage from the spikes has a chance to grant a reward.,He awaits your offering,1
Twisted Pair,5.100.698,1,,"Spawns two familiars that float on either side of Isaac and fire tears that use his tears, range, shot speed, and tear effects, and scale with damage.",Double trouble!,4
Vengeful Spirit,5.100.702,1,,"After taking damage, spawns an orbital wisp that lasts for the entire floor, up to a maximum of six. They fire tears but do not block shots.",Hot blooded,1
Heartbreak,5.100.694,0.5,,Grants 3 broken hearts and +0.25 damage for every broken heart Isaac has. Every otherwise fatal hit will add 2 more until Isaac has nothing but broken hearts.,Eternal sorrow,3
