Name,ID,Weight,Price,Description,Quote,Quality
Jar of Flies,5.100.434,1,15,"Killing an enemy adds a fly to the jar, up to a maximum of 20. On use, releases Blue Flies equal to the number of flies in the jar.",Bug catcher,2
Mom's Box,5.100.439,1,15,"Increases luck by 1 and doubles the effects of trinkets while held. When used, drops a random trinket on the ground.",What's inside?,2
Placebo,5.100.348,1,10,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",Pill mimic,2
Tear Detonator,5.100.383,1,10,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head.",Remote tear detonation!,1
Ventricle Razor,5.100.396,1,10,"Can be used to place an orange portal and a blue portal. Upon entering a portal, Isaac is teleported to the other portal.",Short cutter,1
Wooden Nickel,5.100.349,1,10,"When used, has a 50% chance to drop a random coin.",Flip a coin,1
Compost,5.100.480,1,10,"Doubles Isaac's Blue Flies and Blue Spiders, or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders.",Gain more friends!,1
Coupon,5.100.521,1,15,"While held, guarantees one item in every  Shop will be on sale. On use, makes a random item in the current room free.",Allow 6 weeks for delivery,2
Dull Razor,5.100.486,1,10,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage.",I feel numb...,1
Moving Box,5.100.523,1,15,"If the box is empty, picks up items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room.  Can carry up to 10 items or pickups at once.",Pack and unpack,1
Mr. ME!,5.100.527,1,15,Summons a controllable ghost that can perform various tasks depending on what it targets.,Caaan do!,3
Mystery Gift,5.100.515,1,15,"Upon use, spawns a random item from the current room's item pool, with a chance to spawn  A Lump of Coal or  The Poop instead.",Wrapped up nice for you!,3
Potato Peeler,5.100.487,1,15,"Removes a Heart Container, increases damage and range, and grants a Cube of Meat.",A pound of flesh,2
Smelter,5.100.479,1,15,Consumes Isaac's currently held trinket and applies its effect permanently.,Trinket melter!,2
Crooked Penny,5.100.485,0.5,15,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear.",50/50,2
Mama Mega!,5.100.483,0.5,15,Damages all enemies and destroys all obstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor's Secret Rooms and Super Secret Rooms.,BOOOOOOOOOM!,3
Plan C,5.100.475,0.2,15,"Kills all enemies in the room, then kills Isaac three seconds later.",My last resort,0
Alabaster Box,5.100.585,1,15,"Spawns three   Soul Hearts and two  Angel Room items and is consumed. Starts with no charges, and can only be charged by picking up 6 Soul Hearts.",A sacred offering,2
Eraser,5.100.638,1,15,"Throws an eraser that instantly kills the first monster it hits, and prevents that monster from spawning for the rest of the run. Can only be used once per floor.",Erase thy enemy,2
Mom's Bracelet,5.100.604,1,10,"Lets Isaac pick up and throw rocks,   TNT,   Poops, friendly Dips,   Bombs, and other obstacles.",Mother's strength,1
Notched Axe,5.100.147,1,15,"Isaac destroys obstacles and opens  Secret Rooms by walking into them, but cannot shoot or pick up items until it's cancelled. Toggles between tears and the pickaxe, which can be swung to attack and break obstacles. Using it depletes the charge, and it can't be used until next floor once the charge runs out.",Rocks don't stand a chance,1
Sharp Key,5.100.623,1,15,"Adds 5   Keys on pickup. Allows Isaac to throw his keys to deal damage to enemies, destroy obstacles, and open doors.",Open your enemies,1
Keeper's Box,5.100.719,0.5,15,Spawns a random shop item or pickup which can be bought for its normal price.,Portable shop,2
Magic Skin,5.100.642,0.1,15,"Consumes one heart container or two   Soul Hearts to spawn an item and give Isaac a broken heart container that can never be filled. If Magic Skin isn't being held after being used, it is very likely to replace any future items.",All your desires fulfilled,2
