Name,ID,Weight,Description
Lost Soul,5.100.612,1,"Creates a ghostly familiar that closely follows behind Isaac. It dies in one hit, but respawns at the start of the next floor. Each time it survives until the next floor, it rewards Isaac with   Soul Hearts,   Eternal Hearts, or an Item."
Orphan Socks,5.100.571,1,Prevents creep and floor spikes from damaging Isaac. Also gives Isaac +0.3 speed and 2   Soul Hearts.
Rock Bottom,5.100.562,1,Locks Isaac's attributes to their highest values reached.
Sack Head,5.100.424,1,"Coins,   Bombs,   Keys, cards, runes and batteries have a chance to become   Grab Bags."
Sack of Sacks,5.100.500,1,Spawns a familiar that drops a   Grab Bag every 5-6 rooms cleared.
Sausage,5.100.669,1,"Adds a Red Heart Container, fully heals Isaac, and gives +0.2 Speed, +0.5 Damage, +0.5 Tears, +2.5 Range, +0.2 Shot Speed, and +1.0 Luck. Increases the chance of encountering a  Devil Room,  Angel Room, and/or  Planetarium each by 6.9%."
Spirit Shackles,5.100.674,1,"On death, Isaac's ghost is chained to his dead body and he can continue to fight with 1/2 of a heart, returning to life after 10 seconds. After it activates, it must be recharged by picking up a   Soul Heart."
Strawman,5.100.667,1,"Spawns a controllable   Keeper to fight enemies alongside Isaac, functioning similarly to   Jacob and Esau. If Keeper dies, he spawns 5 blue spiders and Strawman is removed from Isaac's inventory."
TMTRAINER,5.100.721,1,"Causes all future items to be ""glitched"", granting them completely random effects."
Sacred Orb,5.100.691,0.5,"Prevents items of quality 0-1 from appearing, and items of quality 2 from appearing 33% of the time, greatly increasing the quality of items received from all item pools. Quest items are unaffected."
Vanishing Twin,5.100.697,0.5,Spawns a familiar that becomes a clone of the floor's boss when entering the  Boss Room. Defeating it drops an extra item.
