Name,ID,Quote,Description,Quality
Mega Blast,5.100.441,Laser breath,"Upon use, Isaac fires a laser similar to the one used by   Mega Satan. This laser deals massive damage, lasts for approximately 15 seconds, and persists between rooms. Isaac is pushed backwards by the force of the laser while it is active.",4
Mine Crafter,5.100.427,Booom!,"Places a   Movable TNT barrel that can be pushed and used to destroy rocks or damage enemies. If used again in the same room while the previous TNT barrel is still intact, remotely detonates the TNT.",1
Mom's Box,5.100.439,What's inside?,"Increases luck by 1 and doubles the effects of trinkets while held. When used, drops a random trinket on the ground.",2
Placebo,5.100.348,Pill mimic,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",2
Tear Detonator,5.100.383,Remote tear detonation!,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head.",1
Teleport 2.0,5.100.419,I-Teleport!,"Teleports Isaac to a room that has not been explored yet. Normal rooms are prioritized over special rooms, and common special rooms take priority over rarer ones.",3
Ventricle Razor,5.100.396,Short cutter,"Can be used to place an orange portal and a blue portal. Upon entering a portal, Isaac is teleported to the other portal.",1
Wooden Nickel,5.100.349,Flip a coin,"When used, has a 50% chance to drop a random coin.",1
Black Hole,5.100.512,Nothing can escape,Throws a black hole on the ground which sucks in and damages enemies.,1
Book of the Dead,5.100.545,Rise from the grave,"Creates a friendly  Bony,   Black Bony, or an orbital bone for each enemy killed in the current room.Creates a friendly  Bony,   Black Bony,   Bone Fly,   Revenant or an orbital bone for each enemy killed in the current room.",3
Broken Shovel,5.100.550,It feels cursed,"While held, causes Mom to continuously attempt to stomp on Isaac. Activating makes her stop for the current room or wave. One of two parts necessary to create Mom's Shovel.",4
Brown Nugget,5.100.504,Friendly fly,Spawns a stationary fly turret that fires tears at nearby enemies.,0
Clicker,5.100.482,Change,Transforms Isaac into a random character and removes the last item collected.,0
Compost,5.100.480,Gain more friends!,"Doubles Isaac's Blue Flies and Blue Spiders, or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders.",1
Coupon,5.100.521,Allow 6 weeks for delivery,"While held, guarantees one item in every  Shop will be on sale. On use, makes a random item in the current room free.",2
Crooked Penny,5.100.485,50/50,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear.",2
D Infinity,5.100.489,Reroll forever,"Grants a random die item that changes each use. Acts as any die item, and can by cycled by pressing the drop key.",4
D1,5.100.476,What will it be?,"Duplicates a random pickup in the room.  The new pickup may be different than the original (i.e. a different card, etc).",2
Dataminer,5.100.481,109,"Displaces enemy sprites for the current room, randomly increases one stat and decreases another.",0
Delirious,5.100.510,Unleash the power!,Spawns   Delirium as a random friendly boss that fights for Isaac.,1
Dull Razor,5.100.486,I feel numb...,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage.",1
Eden's Soul,5.100.490,...,Spawns two item pedestals then is consumed. Begins with no charges.,3
Mama Mega!,5.100.483,BOOOOOOOOOM!,Damages all enemies and destroys all obstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor's Secret Rooms and Super Secret Rooms.,3
Metronome,5.100.488,Waggles a finger,Grants a random item effect for the current room.,1
Mom's Shovel,5.100.552,Lost but not forgotten,Creates a trapdoor that leads to the next floor upon activation. Unlocks   The Forgotten when used on a mound of dirt that appears in  Dark Room.,4
Moving Box,5.100.523,Pack and unpack,"If the box is empty, picks up items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room.  Can carry up to 10 items or pickups at once.",1
Mr. ME!,5.100.527,Caaan do!,Summons a controllable ghost that can perform various tasks depending on what it targets.,3
Mystery Gift,5.100.515,Wrapped up nice for you!,"Upon use, spawns a random item from the current room's item pool, with a chance to spawn  A Lump of Coal or  The Poop instead.",3
Pause,5.100.478,Stop!,Freezes all enemies until a fire button is pressed.,1
Plan C,5.100.475,My last resort,"Kills all enemies in the room, then kills Isaac three seconds later.",0
Potato Peeler,5.100.487,A pound of flesh,"Removes a Heart Container, increases damage and range, and grants a Cube of Meat.",2
Sacrificial Altar,5.100.536,He demands a sacrifice,Sacrifices up to 2 familiars and spawns an item for each familiar sacrificed. Converts all friendly spiders and flies into coins.,2
Sharp Straw,5.100.507,More blood!,Damages all enemies in the room. Has a chance to drop a   Half Red Heart or   Half Soul Heart if an enemy is hit.,2
Smelter,5.100.479,Trinket melter!,Consumes Isaac's currently held trinket and applies its effect permanently.,2
Sprinkler,5.100.516,Sprinkles.,"Upon use, creates a stationary sprinkler that rotates and fires tears in 8 directions. The tears copy Isaac's stats and most tear effects.",2
Telekinesis,5.100.522,Power of the mind,"Upon use, for the next three seconds, any enemy shots that come near Isaac are held in place and then later reflected.",1
Void,5.100.477,Consume,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant random stat upgrades.",4
Wait What?,5.100.484,I can't believe it's not butter bean!,"Isaac farts, sending out rock waves.",1
Abyss,5.100.706,Come forth from the depths,Destroys all items in the room and gives Isaac a unique locust familiar for each item destroyed. Some items generate locusts with special effects.,4
Alabaster Box,5.100.585,A sacred offering,"Spawns three   Soul Hearts and two  Angel Room items and is consumed. Starts with no charges, and can only be charged by picking up 6 Soul Hearts.",2
Anima Sola,5.100.722,Repent,"Chains down the nearest enemy for 5 seconds, preventing them from acting.",3
Bag of Crafting,5.100.710,Make your destiny,"Collects and holds up to 8 pickups, which can then be used to craft an item. The power level of the item is based on the quality of pickups used.",3
Berserk!,5.100.704,Rip and tear,"Causes Isaac to go berserk for 5 seconds, greatly increasing his speed, tears, and damage, but restricting him to using a melee weapon instead of his tears. This item charges by dealing damage to enemies instead of clearing rooms.",2
Book of Virtues,5.100.584,Spiritual companionship,"On use, spawns a destroyable orbiting wisp familiar that fires tears and deals contact damage. Also acts as a passive item that causes other active items to spawn themed wisps.",3
Broken Glass Cannon,5.100.474,You broke it!,Begins with no charges and turns into  Glass Cannon when used. Only acquired by taking damage while holding Glass Cannon.,0
Clear Rune,5.100.263,Rune mimic,Has the same effect as the rune or soul stone currently held by Isaac.,2
Damocles,5.100.577,A king's fortune... but at what cost?,"Spawns a sword above Isaac's head, which doubles all item pedestals. After Isaac takes damage, the sword can randomly fall at any point, instantly killing him.",2
Dark Arts,5.100.705,One with the shadows,"Briefly grants +1 speed and makes Isaac invulnerable and intangible. When the effect ends, destroys all projectiles and damages all enemies Isaac ran through.",2
Death Certificate,5.100.628,Where am I?,"Takes Isaac to an abandoned and expanded version of  Home, which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in.",4
Decap Attack,5.100.729,Chuck away!,"Throws Isaac's head, which is still able to fire tears at the spot it lands. Reactivating the item or stepping on the head reattaches it.",2
Eraser,5.100.638,Erase thy enemy,"Throws an eraser that instantly kills the first monster it hits, and prevents that monster from spawning for the rest of the run. Can only be used once per floor.",2
Esau Jr.,5.100.703,Lost brother,"Swaps between the current character and Esau Jr., who has +2 flat damage and flight. Characters have independent items and health. Dying as either character ends the run.",2
Eternal D6,5.100.609,???,Rerolls all items in the room. Each item has a 25% chance to disappear instead.,3
Everything Jar,5.100.720,Anything is possible,"Spawns certain pickups based on how many charges it has. If fully charged, instead has one of many unique effects.",3
Flip,5.100.711,Twist of fate,"Item pedestals have a second uninteractable ""ghostly"" item behind them. Activating will flip the real and ghostly items around. If playing as   Tainted Lazarus, also flips between them and   Dead Tainted Lazarus.",4
Fortune Cookie,5.100.557,Reusable fortunes,"Gives Isaac a fortune,   Soul Heart, Card, Rune, or trinket, similar to a  Fortune Telling Machine. Fortunes are much more likely to be given than anything else.",2
Free Lemonade,5.100.578,Party time!,Creates a large pool of yellow creep beneath Isaac.,1
Friend Finder,5.100.687,Best friends forever!,Spawns a random friendly monster that mimics Isaac's movements and attacks.,3
Gello,5.100.728,Demonic gestation,"Spawns a demon familiar that's attached to Isaac and moves and fires in the direction Isaac shoots, using Isaac's damage, tears, range, shot speed, and special tear effects.",3
Genesis,5.100.622,In the beginning,"Removes all of Isaac's items and pickups and takes him to a unique Bedroom with some pickups and  Chests and a trapdoor to the next floor. For every item Isaac lost, he gets to take an item from a set of three.",3
Golden Razor,5.100.555,Pain from gain,Spends five   Pennies to increase Isaac's damage by 1.2 for the current room.,1
Hold,5.100.715,Saved for later,"Exclusive to   Tainted ???. Allows him to save one poop bomb for later, allowing him to gather more over time.",0
Jar of Wisps,5.100.685,Your faith grows,"Spawns random wisps that shoot various tears, block shots, and deal contact damage. The number of wisps spawned increases every time the jar is used.",2
Keeper's Box,5.100.719,Portable shop,Spawns a random shop item or pickup which can be bought for its normal price.,2
Larynx,5.100.611,Hear my pain,"Isaac shouts, damaging and pushing away nearby enemies. The shout gets stronger the more charges the item has. Can also be charged by taking damage.",2
Lemegeton,5.100.712,Item summoner,"Spawns a wisp representing a random passive item, which orbits Isaac but can be destroyed. While the wisp is alive, Isaac gains that item's effects. Generation uses the current room's item pool 25% of the time, otherwise a random pool.",3
Magic Skin,5.100.642,All your desires fulfilled,"Consumes one heart container or two   Soul Hearts to spawn an item and give Isaac a broken heart container that can never be filled. If Magic Skin isn't being held after being used, it is very likely to replace any future items.",2
Meat Cleaver,5.100.631,Slice but no dice,Splits all enemies in the room into two smaller versions of themselves with much less health.,1
Mega Mush,5.100.625,I'm a big boy now!,"Gigantifies Isaac for 30 seconds, increasing damage and range while lowering tears, granting invulnerability, and allowing Isaac to crush enemies and obstacles he walks on. The effect persists between rooms.",4
Mom's Bracelet,5.100.604,Mother's strength,"Lets Isaac pick up and throw rocks,   TNT,   Poops, friendly Dips,   Bombs, and other obstacles.",1
Plum Flute,5.100.650,Play time!,Summons the boss   Baby Plum to fight for Isaac in the current room.,1
R Key,5.100.636,Time to start over,"Brings Isaac back to the first floor of a new run, retaining all of his items.",4
Recall,5.100.714,Come back,Retrieves the Forgotten's body from any distance. Only available as the  Birthright effect for   Tainted Forgotten.,0
Red Key,5.100.580,Explore the other side,"Creates a  Red Room adjacent to a viable wall, indicated by the outline of a door. These rooms have a 10% chance to be a special room.",3
Sharp Key,5.100.623,Open your enemies,"Adds 5   Keys on pickup. Allows Isaac to throw his keys to deal damage to enemies, destroy obstacles, and open doors.",1
Spin to Win,5.100.655,Let it rip!,"When used, gives Isaac +0.5 speed and greatly increases the rotation speed of Isaac's orbitals for 3 seconds. Gives Isaac a spinning top orbital that blocks enemy shots and deals contact damage to enemies while held.",1
Spindown Dice,5.100.723,-1,Transforms all items in the room by decreasing their internal ID number.,4
Stitches,5.100.635,Bait and switch,"Passively spawns a familiar that moves in the direction Isaac shoots. On use, Isaac swaps places with the familiar.",1
Sulfur,5.100.556,Temporary demon form,Grants  Brimstone for the current room.,3
Sumptorium,5.100.713,Blood to blood,"Removes half a heart and creates a Clot familiar that mimics Isaac's movements and tear effects. As   Tainted Eve, passively converts health into Clots while firing. Activating returns all Clots to health.",3
Suplex!,5.100.709,Angel breaker,"Isaac dashes forward and picks up the first enemy hit. After a moment, he slams them into the ground to deal damage and create a circular rock wave.",2
The Scooper,5.100.605,Plop!,"Summons  The Peeper for the current room, which leaves a trail of red creep.",1
Urn of Souls,5.100.640,Unleash their sorrow,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn.",3
Vade Retro,5.100.653,Begone!,"While held, enemies leave behind ghosts on death. Using the item causes the ghosts to explode, dealing damage to nearby enemies. Stronger enemies leave bigger ghosts. Ghost enemies and bosses are also destroyed if this is used while they have less than half HP.",2
Wavy Cap,5.100.582,Tears up. A mind changing experience!,"Increases fire rate, decreases speed, and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms.",1
Yuck Heart,5.100.639,Gross!,Gives Isaac a   Rotten Heart.,1
???'s Only Friend,5.100.320,Controlled friend,Spawns a controllable familiar that deals 37.5 damage per second on touch. It can be moved using the shooting directional keys,1
<3,5.100.15,HP up,Grants Isaac one Red Heart container and fully restores Isaac's health.,2
1up!,5.100.11,Extra life,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear.",2
20/20,5.100.245,Double shot,"Isaac fires two tears at once, one from each eye.  0.8x damage multiplier.",4
3 Dollar Bill,5.100.191,Rainbow tears,Gives Isaac a random tear effect every room. Gives Isaac a random tear effect every few seconds.,2
9 Volt,5.100.116,Quicker charge,Reduces the charge of any activated item by 1. Any 1 charge items instead have timed recharges.,2
A Dollar,5.100.18,$$$,Gives Isaac 100   Pennies.,3
A Lump of Coal,5.100.132,My Xmas present,"The more distance tears travel, the more damage they will do.",3
A Quarter,5.100.74,+25 coins,Gives Isaac 25   coins.,0
A Snack,5.100.346,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Abaddon,5.100.230,Evil + DMG up + fear shot,"+1.5 damage, +0.2 speed. Removes all Red Heart containers, grants six  Black Hearts, and adds a chance to shoot fear tears. +1.5 damage, +0.2 speed. Grants two  Black Hearts, converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears.",3
Abel,5.100.188,Mirrored buddy,Spawns a familiar that mirrors Isaac's movements and shoots in the opposite direction. Spawns a familiar that mirrors Isaac's movements and shoots towards him.,0
Anemic,5.100.214,Toxic blood,"After Isaac is damaged, a trail of red creep will be left behind him until he leaves the current room.  +5 range.  +1.5 range.",1
Ankh,5.100.161,Eternal life?,"Upon death, Isaac will respawn as   ??? in the previous room, with 3   Soul Hearts.",1
Anti-Gravity,5.100.222,Anti-gravity tears + tears up,"Tears float in position until firing ceases, after which they will fly off in the direction they were shot in.  -2 Tear Delay.  +1 Fire Rate.",2
Aquarius,5.100.308,Trail of tears,"A trail of blue creep is left behind Isaac, which damages enemies.  The creep inherits most of Isaac's tear effects, like homing, etc.",2
Aries,5.100.300,Ramming speed,+0.25 Speed. Running into enemies while at a high speed will deal damage.  Prevents Isaac from taking contact damage while moving at high speed.,2
Ball of Bandages,5.100.207,Gotta lick 'em all!,"Creates an orbital familiar. Collecting additional copies gives it the ability to shoot Charm tears, then chase enemies to deal contact damage, then deal even more contact damage.",2
Ball of Tar,5.100.231,Sticky feet...,"Adds a chance to shoot slowing tears. Isaac leaves a trail of slowing creep behind as he moves, impeding enemies' speed.",2
BBF,5.100.272,Big Beautiful Fly,Spawns a familiar that flies around the room in a zig-zag pattern and explodes on contact with an enemy. Respawns after ten seconds.,1
Best Bud,5.100.274,Sworn protector,"When hit, spawns a quickly orbiting attack fly similar to  Forever Alone for the current room that deals high damage.",0
BFFS!,5.100.247,Your friends rule!,Increases the size and effectiveness of most familiars.,2
Big Fan,5.100.279,Fat protector,Spawns a large orbital familiar that blocks enemy shots and deals 30 damage per second to enemies.,2
Black Candle,5.100.260,Curse immunity + evil up,Prevents curses. Grants one   Black Heart. Increases the chance for a  Devil Room or  Angel Room to appear.,3
Black Lotus,5.100.226,HP up x3!,"Grants one Red Heart Container, one   Soul Heart, and one   Black Heart.",2
Blood Bag,5.100.119,HP up,"Grants one filled Red Heart container, restores 4   Red Hearts, and increases speed by 0.3.",2
Blood Clot,5.100.254,DMG + range up,"Tears fired from the left eye have +1 flat damage, +5 range, and +0.5 tear falling speed.Tears fired from the left eye have +1 flat damage and +2.75 range.",2
Blood of the Martyr,5.100.7,DMG up,+1 damage. Isaac shoots blood tears.,3
Bloody Lust,5.100.157,RAGE!,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor.",2
Blue Cap,5.100.342,HP + tears up + shot speed down,"Gives one full Red Heart container, +0.7 tears, and -0.16 shot speed.  Heals 1 additional   Red Heart.",3
Blue Map,5.100.246,Secrets,Reveals the locations of  Secret Rooms and  Super Secret Rooms on the map.,2
Bob's Brain,5.100.273,Explosive thoughts,"Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds.",1
Bob's Curse,5.100.140,+5 poison bombs,"+5   Bombs. Grants Isaac's bombs a poison effect.  They also leave a lingering poison cloud, and Isaac becomes immune to poison.",1
Bobby-Bomb,5.100.125,Homing bombs!,"+5   Bombs. Bombs gain a homing effect, slowly moving towards the nearest enemy.",2
Bogo Bombs,5.100.250,1+1 BOOM!,All normal   Bombs become   Double Bombs.,1
