Name,ID,Weight,Description,Quote,Quality
Eye of Greed,5.100.450,1,"Every 20 tears, Isaac loses 1  Penny and shoots an additional gold tear that petrifies enemies and turns them into gold. Any enemy killed while in this state will drop coins.",Gold tears!,2
Greed's Gullet,5.100.501,1,Grants a Red Heart container for every 25   Coins Isaac has.,Money = health!,1
Astral Projection,5.100.677,1,"Causes Isaac to turn into a ghost if he gets hit while in an uncleared room, giving him flight and spectral tears and blocking the next hit he takes.",The true out-of-body experience!,2
Binge Eater,5.100.664,1,+1 Red Heart Container and fully heals Isaac. Item pedestals also offer a random food item. Picking up a food item temporarily grants +3.6 damage and permanently boosts 2 stats.,All you can eat,4
Chaos,5.100.402,1,Drops 1-6 random pickups on the floor. Causes items to be chosen from random item pools.,!!!,3
Cracked Orb,5.100.675,1,Unlocks doors and reveals a random room on the map when Isaac takes damage.,Shards of knowledge,1
Echo Chamber,5.100.700,1,"When Isaac uses a Card, Pill, or Rune, he also uses a copy of the previous three Cards/Pills/Runes he used after picking up Echo Chamber.",I can see see the future future future,3
Epic Fetus,5.100.168,1,"Isaac's tears are replaced with guided missiles, like those used by the  Doctor's Remote.",On-demand air strike,4
Evil Charm,5.100.632,1,"+2 luck. Provides immunity to burn, confusion, fear, and poison.",Luck up + you feel protected,2
Glitched Crown,5.100.689,1,Item pedestals cycle between 5 random items before being picked up.,?????,4
Inner Child,5.100.688,1,"Upon death, Isaac respawns in the current room with half of a   Red Heart, a massive size down, and +0.2 Speed.",Let him free,2
Isaac's Tomb,5.100.701,1,Spawns an   Old Chest at the start of each floor.,Buried memories,3
Keeper's Kin,5.100.717,1,"Rocks and other Obstacles spawn blue spiders over time while in a room with enemies, and spawn two blue spiders when destroyed.",Under a rock,2
Keeper's Sack,5.100.716,1,"Gives range, speed, or damage when buying things from a shop. Also spawns three coins and a  Key on pickup.",Spending power,3
Lost Soul,5.100.612,1,"Creates a ghostly familiar that closely follows behind Isaac. It dies in one hit, but respawns at the start of the next floor. Each time it survives until the next floor, it rewards Isaac with   Soul Hearts,   Eternal Hearts, or an Item.",Protect him,2
Orphan Socks,5.100.571,1,Prevents creep and floor spikes from damaging Isaac. Also gives Isaac +0.3 speed and 2   Soul Hearts.,Speed up + your feet feel stronger,2
Rock Bottom,5.100.562,1,Locks Isaac's attributes to their highest values reached.,It's only up from there,3
Sack Head,5.100.424,1,"Coins,   Bombs,   Keys, cards, runes and batteries have a chance to become   Grab Bags.",More sacks!,3
Sack of Sacks,5.100.500,1,Spawns a familiar that drops a   Grab Bag every 5-6 rooms cleared.,Gives sacks,3
Sausage,5.100.669,1,"Adds a Red Heart Container, fully heals Isaac, and gives +0.2 Speed, +0.5 Damage, +0.5 Tears, +2.5 Range, +0.2 Shot Speed, and +1.0 Luck. Increases the chance of encountering a  Devil Room,  Angel Room, and/or  Planetarium each by 6.9%.",All stats up,3
Spirit Shackles,5.100.674,1,"On death, Isaac's ghost is chained to his dead body and he can continue to fight with 1/2 of a heart, returning to life after 10 seconds. After it activates, it must be recharged by picking up a   Soul Heart.",Unfinished business,2
Strawman,5.100.667,1,"Spawns a controllable   Keeper to fight enemies alongside Isaac, functioning similarly to   Jacob and Esau. If Keeper dies, he spawns 5 blue spiders and Strawman is removed from Isaac's inventory.",A helping hand,2
TMTRAINER,5.100.721,1,"Causes all future items to be ""glitched"", granting them completely random effects.",ZZaZZ ZZdZZiZZmZZhZZ ZZvZZ ZZoZZ ZZ ZZsZZlZZhZZsZZoZZaZZiZZ,0
Sacred Orb,5.100.691,0.5,"Prevents items of quality 0-1 from appearing, and items of quality 2 from appearing 33% of the time, greatly increasing the quality of items received from all item pools. Quest items are unaffected.",Destined for greatness,4
Vanishing Twin,5.100.697,0.5,Spawns a familiar that becomes a clone of the floor's boss when entering the  Boss Room. Defeating it drops an extra item.,He wants revenge,2
