Name,ID,Weight,Description,Quote,Quality
Bum Friend,5.100.144,1,"Spawns a familiar that picks up  coins for himself, giving random pickups in return.  Can spawn Items from the Beggar Item Pool.",He's greedy,1
Butt Bombs,5.100.209,1,"+5   Bombs. Bombs now cloud up the screen, briefly damaging and confusing all enemies.",Toxic blast +5 bombs,2
Cain's Other Eye,5.100.319,1,Spawns a familiar that slowly floats around the room on a zig-zag pattern and shoots normal tears in the same direction as Isaac. Spawns a familiar that follows Isaac and fires tears in random cardinal directions that copy Isaac's tears and tear effects and scale with damage.,Near-sighted friend,2
Cancer,5.100.301,1,Adds 3   Soul Hearts. Grants  The Wafer effect for the current room after taking damage.,HP up + you feel protected,3
Capricorn,5.100.307,1,"Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +1.5 Range, and -1.0 Tear Delay, and gives 1   Bomb,   Penny, and   Key. Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +0.75 Range, and +0.5 Fire Rate, and gives 1   Bomb,   Penny, and   Key.",All stats up,3
Celtic Cross,5.100.162,1,"Grants a chance to trigger the  Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.",Blessing of protection,1
Charm of the Vampire,5.100.62,1,Heals Isaac for a   Half Red Heart for every 13 enemies killed.  +0.3 damage.,DMG up + kills heal,1
Chemical Peel,5.100.154,1,Tears fired from the left eye have +2 flat damage.,DMG up,2
Chocolate Milk,5.100.69,1,Grants charged tears that deal greater damage when fully charged.,Charge shots,3
The Common Cold,5.100.103,1,"Adds a chance to shoot poison tears, dealing damage over time when inflicted.",Poison damage,1
Cricket's Body,5.100.224,1,"When tears hit an object or deplete their range, they spawn 4 smaller tears, whose range and damage scale with Isaac's.  Grants -1 tear delay and reduces range.  Grants +0.5 fire rate and reduces range.",Bursting shots + tears up,3
Cricket's Head,5.100.4,1,"Increases Damage by 0.5, and increases damage multiplier by x1.5.",DMG up,4
Cupid's Arrow,5.100.48,1,Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.,Piercing shots,3
Cursed Eye,5.100.316,1,Grants charged tears that can be fired in a tight burst. Getting hit while charging will teleport Isaac to another room.,Cursed charge shot,0
Daddy Longlegs,5.100.170,1,Daddy Long Legs' shadow follows Isaac and occasionally stomps enemies for 40 damage total.,Daddy's love,3
Dark Bum,5.100.278,1,"Spawns a familiar that follows Isaac around and collects   Red Hearts. For every 1? Red Hearts collected, Dark Bum will give a reward.",He wants to take your life,3
Dead Bird,5.100.117,1,"After Isaac takes damage, spawns a flying familiar that chases enemies for the current room, dealing ~4 damage per second.",Protective buddy,0
Dead Onion,5.100.336,1,Grants piercing and spectral tears. Increases tear size (without increasing damage) while greatly reducing range and shot speed.,Toxic aura tears,3
Demon Baby,5.100.113,1,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.,Auto-turret friend,2
Distant Admiration,5.100.57,1,"Spawns an attack fly that circles further out than  Halo of Flies, but closer than  Forever Alone, dealing 75 damage per second.",Attack fly,2
Dr. Fetus,5.100.52,1,Tears are replaced by  Bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.,???,4
Dry Baby,5.100.265,1,"Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot, it has a chance of triggering  The Necronomicon effect.",Immortal friend,3
E. Coli,5.100.236,1,Enemies that touch Isaac are transformed into   Poop.,Turdy touch,1
Eve's Mascara,5.100.310,1,"Doubles damage, halves tears stat, and greatly reduces shot speed.  Doubles damage, 0.66x tears multiplier, and greatly reduces shot speed.","DMG up, tears + shot speed down",3
Experimental Treatment,5.100.240,1,Randomly increases and decreases some of Isaac's stats. Increases four random stats and decreases the other two.,"Some stats up, some stats down",1
Fire Mind,5.100.257,1,"Grants flaming tears that deal burning damage over time. Tears have a chance to explode on impact with an enemy, which creates a fire at the location of the explosion.",Flaming tears,2
Forever Alone,5.100.128,1,"Spawns an attack fly that orbits a long distance from Isaac, dealing 30 damage per second.",Attack fly,1
Gemini,5.100.318,1,"Spawns a conjoined familiar which chases enemies close to Isaac, dealing ~8 damage per second.",Conjoined friend,1
Ghost Baby,5.100.163,1,Spawns a familiar that follows Isaac around and fires spectral tears.,Spectral buddy,1
Gimpy,5.100.225,1,Gives chance of spawning a   Soul Heart when taking damage. Enemies have a chance to drop a   Half Red Heart after being killed.,Sweet suffering,2
Gnawed Leaf,5.100.210,1,"After standing still and not shooting for a short time, Isaac turns invincible until he moves or shoots.",Unbreakable,1
Guillotine,5.100.206,1,Isaac's head is removed from his body and floats around him as an orbital.  Gives +1 damage and grants -1 tear delay.  Gives +1 damage and grants +0.5 fire rate.,DMG + tears up. An out-of-body experience!,2
Halo of Flies,5.100.10,1,Spawns two Pretty Flies that block enemy shots and deal contact damage to flies.,Projectile protection,2
Harlequin Baby,5.100.167,1,Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern.,Double shot buddy,1
Headless Baby,5.100.269,1,"Spawns a familiar that follows Isaac, leaving blood creep on the ground.",Bloody friend,1
Holy Water,5.100.178,1,"Spawns a bottle familiar that breaks when Isaac takes damage, leaving a puddle of blue creep. A bottle familiar that flies forward when Isaac shoots. It breaks upon hitting an enemy, leaving a puddle of blue creep that petrifies enemies.",Splash!,3
Hot Bombs,5.100.256,1,+5   Bombs. Isaac's bombs leave behind fire that damages enemies upon contact.,Burning blast +5 bombs,1
Infamy,5.100.242,1,Gives Isaac a 50% chance to block projectiles coming from any direction.,Blocks damage... sometimes,2
Infestation 2,5.100.234,1,Spawns allied Blue Spiders from killed enemies.,Infestation shot,3
Infestation,5.100.148,1,1-3 Blue Flies randomly spawn every time Isaac gets hit. 2-6 Blue Flies randomly spawn every time Isaac gets hit.,Fly revenge,0
The Inner Eye,5.100.2,1,Grants triple shot but decreases tears.,Triple shot,2
Ipecac,5.100.149,1,Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.,Explosive shots,4
Iron Bar,5.100.201,1,"Increases damage by 0.3 and adds a chance to shoot concussive tears, causing enemies to walk around randomly.",DMG up + concussive tears,2
Isaac's Heart,5.100.276,1,"Isaac himself is now immune to all damage, and a heart familiar follows him. If the heart is hurt, Isaac is hurt.  The heart charges up as Isaac shoots, firing 8 blood shots, knocking back enemies, and leaving a puddle of creep when released.",Protect it,0
Juicy Sack,5.100.266,1,"Spawns a familiar that follows Isaac and drips a trail of slow creep, spawning 1-2 Blue Spiders after each room.",Sticky babies,2
Lazarus' Rags,5.100.332,1,"Upon dying, resurrect as   Lazarus Risen in the current room with one Red Heart container and  Anemic. Upon dying, resurrect as   Lazarus Risen in the current room with one less Red Heart container (but no less than 1),  Anemic, and a permanent +0.5 Damage up. Going to the next floor reverts him back into   Lazarus, with his inherent extra life effect.",Eternal life?,1
Leech,5.100.270,1,"Spawns a leech familiar that chases enemies, dealing ~3 damage per second. Heals a   Half Red Heart whenever Leech kills an enemy.",Blood sucker,2
Leo,5.100.302,1,Isaac can destroy rocks by walking into them.,Stompy,1
Libra,5.100.304,1,"Gives 6   Coins, 6   Bombs, and 6   Keys and balances out all attributes.",You feel balanced,1
Lil Brimstone,5.100.275,1,Grants a familiar that charges a thin  Brimstone laser while Isaac is shooting.,Evil friend,2
Lil Haunt,5.100.277,1,"Spawns a familiar that chases down enemies, dealing 4 damage per second and inflicting fear.",Fear him,1
Little C.H.A.D.,5.100.96,1,Spawns a familiar who drops a   Half Red Heart every 3 rooms.,Gives kisses,2
Little Chubby,5.100.88,1,Spawns a   Charger familiar that charges forward and deals contact damage to any enemies in its path.,Attack buddy,2
Little Gish,5.100.99,1,"Spawns a familiar that follows Isaac around and fires slowing tears, impeding enemies' speed.",Sticky friend,2
Little Steven,5.100.100,1,Spawns a familiar who follows Isaac around and fires homing tears.,Psychic friend,2
Loki's Horns,5.100.87,1,Gives a random chance for projectiles to fire in all 4 cardinal directions.,Cross tears,1
Lost Contact,5.100.213,1,Isaac's tears can hit and destroy enemy projectiles. -0.15 shot speed.,Shielded tears,2
Lucky Foot,5.100.46,1,"+1 luck. Improves Isaac's chances at various random events (independent from the luck stat).  Converts all bad pills into good pills, without identifying them.",Luck up,2
The Ludovico Technique,5.100.329,1,"Instead of firing tears, Isaac controls one floating tear that hover over obstacles. This tear deals constant damage when held in place over an enemy.",Controlled tears,2
Maggy's Bow,5.100.312,1,Gives one Red Heart Container and doubles the healing provided by   Red Hearts.  Also heals 1 Red Heart when obtained.,HP up + you feel healthy,2
Magneto,5.100.53,1,Pulls pickups towards Isaac.,Item snatcher,1
Midas' Touch,5.100.202,1,Enemies that touch Isaac are temporarily petrified and turn to gold. Any enemy killed while in this state will drop   Pennies.,Golden touch,2
Mini Mush,5.100.71,1,"Decreases Isaac's size, making him less likely to be hit. +0.3 speed, +1.5 tear falling speed, -4.25 range (effective range is increased).  +0.3 speed, +2.5 range.",Speed + range up,2
Mitre,5.100.173,1,Grants a chance of converting any   Red Heart pickups into   Soul Hearts instead.,Blessing of purity,3
Mom's Contacts,5.100.110,1,"Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking.  +0.25 range.  +1.5 range.",Freeze effect,3
Mom's Eye,5.100.55,1,Gives Isaac a chance to fire tears from the back of his head.,Eye in the back of your head,1
Mom's Eyeshadow,5.100.200,1,Tears have a chance to charm enemies.,Charm tears,1
Mom's Perfume,5.100.228,1,Adds a chance to shoot fear tears.  Decreases tear delay by 1.  +0.5 fire rate.,Fear shot + tears up,2
Mom's Wig,5.100.217,1,Adds a chance to spawn Blue Spiders when firing tears. Restores 1   Red Heart.,You feel itchy...,2
Mongo Baby,5.100.322,1,Spawns a familiar that copies the tears of Isaac's other familiars.,Mongo friend,2
Monstro's Lung,5.100.229,1,Replaces normal tears with a charged shot that fires 14 tears in the same fashion as   Monstro.,Charged burst attack,2
Mr. Mega,5.100.106,1,"+5   Bombs. Increases the size, blast radius, and damage of Isaac's bombs.",Bigger boom,2
The Mulligan,5.100.151,1,Tears have a 1/6 chance of spawning allied Blue Flies when they hit an enemy.,They grow inside,3
Mutant Spider,5.100.153,1,Grants quadruple shot but decreases Tears.,Quad shot,3
My Reflection,5.100.5,1,"Gives Isaac's tears a boomerang effect.  +1.5 range, +1 tear falling speed, x1.6 shot speed multiplier.  2x + 1.5 range, +1.5 damage, -1 luck, 1.6x shot speed multiplier.",Boomerang tears + DMG up + luck down,2
Mysterious Liquid,5.100.317,1,"Tears leave a small, short lasting pool of creep on impact or when their range is depleted.",Toxic splash damage,3
Mystery Sack,5.100.271,1,"Spawns a familiar that drops a Heart, coin,   Bomb, or   Key every 5-6 rooms.",?,2
Number One,5.100.6,1,"Grants +1.5 tears, but severely reduces range.",Tears up + range down,2
Odd Mushroom,5.100.121,1,"Grants one empty Heart container, +0.3 damage, +0.25 range, +0.5 tear falling speed, and -0.1 speed.  Grants one full Heart container, +1 damage, +1.5 range, and -0.2 speed","HP + DMG up, speed down",2
Odd Mushroom,5.100.120,1,"+1.7 tears, +0.3 speed, slightly reduces damage.","Tears + speed up, DMG down",2
Ouija Board,5.100.115,1,Grants spectral tears that travel through obstacles (but not enemies).  +0.5 tears.,Spectral tears + tears up,2
The Parasite,5.100.104,1,Isaac's tears split in two when they hit something.,Split shot,3
The Peeper,5.100.155,1,"Spawns a familiar that slowly floats around the room in a zig-zag pattern, damaging enemies it passes through.  Increases the damage of tears from Isaac's left eye by 35%.",Plop!,2
PHD,5.100.75,1,"Converts all bad pills into good pills, spawns one pill pickup, and identifies all pills. Restores two   Red Hearts and increases the payout of  Blood Donation Machines.",Better pills,2
Piggy Bank,5.100.227,1,"Gives 3   Pennies on pick-up. Every time Isaac is damaged, he will drop one or two additional pennies.",My life savings,1
Pisces,5.100.309,1,"-1 Tear Delay, adds knock-back shots and increases tear size. +0.5 Fire Rate, adds knock-back shots and increases tear size.",Tears up + knock-back shots,2
Polyphemus,5.100.169,1,"Isaac fires huge tears that deal massive damage, but fire rate is greatly decreased. If a tear kills an enemy, it travels on with any leftover damage.",Mega tears,4
Proptosis,5.100.261,1,"Tears start out massive with high damage, and then shrink down and become weaker over a short range.",Short range mega tears,3
Punching Bag,5.100.281,1,Spawns a   Mulligan familiar that wanders randomly. Enemies will attack the Mulligan if it's closer.,Scape goat,1
Pyromaniac,5.100.223,1,+5 bombs. Grants immunity to explosion damage and causes explosions to heal Isaac.  Also grants immunity to fire.,It hurts so good +5 bombs,4
Rainbow Baby,5.100.174,1,Spawns a familiar that follows Isaac around and fires tears with random effects.,Random buddy,1
Robo-Baby 2.0,5.100.267,1,Spawns a familiar that fires lasers at any enemy in its line of sight and moves based on the direction Isaac is firing tears.,We worked out all the kinks,1
Robo-Baby,5.100.95,1,Spawns a familiar that shoots  Technology lasers.,Friends 'till the bbbbzzzt,1
Roid Rage,5.100.14,1,"+0.6 speed, +5.25 range, +0.5 tear falling speed. +0.3 speed, +2.5 range",Speed and range up,2
Rosary,5.100.72,1,Grants 3   Soul Hearts. Causes  The Bible to appear in any item pool.  +0.5 tears.,Tears + faith up,2
Rotten Baby,5.100.268,1,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.,Infested friend,3
Rubber Cement,5.100.221,1,"Tears bounce off walls, enemies, and environmental objects.",Bouncing tears,3
SMB Super Fan,5.100.189,1,"+1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +0.5 range, +1 tear falling speed. Fully restores all red hearts. +1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +2.5 range. Fully restores all red hearts.",All stats up,3
Sack of Pennies,5.100.94,1,Spawns a familiar that drops a   coin every 2 rooms.,Gives money,1
Sacrificial Dagger,5.100.172,1,"Spawns a dagger orbital familiar, blocking enemy shots and dealing a high amount of damage to enemies in contact.",My fate protects me,2
Sad Bombs,5.100.220,1,"+5   Bombs. Upon exploding, bombs shoot 10 tears around them, affected by tear modifiers.",Tear blasts +5 bombs,2
The Sad Onion,5.100.1,1,Increases tears by 0.7.,Tears up,3
Sagittarius,5.100.306,1,Increases speed by +0.2 and grants piercing tears.,Piercing shots + speed up,3
Samson's Chains,5.100.321,1,"Attaches a ball and chain to Isaac that pulls behind him that damages enemies, blocks shots, and destroys most Obstacles.",The ol' ball and chain,1
Scapular,5.100.142,1,"Once per room, when Isaac is reduced to his last half heart, he is granted one   Soul Heart.",Pray for a miracle,2
Scorpio,5.100.305,1,"Grants poison tears, which deal damage over time when inflicted.",Poison tears,3
Sissy Longlegs,5.100.280,1,"Spawns a familiar that wanders randomly, occasionally spawning Blue Spiders.",She loves you,1
Sister Maggy,5.100.67,1,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.,Friends 'till the end,1
Smart Fly,5.100.264,1,"Spawns an orbital familiar that blocks enemy shots. Upon taking damage, the familiar will pursue enemies for the rest of the room, dealing 22.5 damage per second.",Revenge fly,2
Soy Milk,5.100.330,1,"Tears are smaller and do much less damage, but fire in very rapid succession.",DMG down + tears way up,2
Speed Ball,5.100.143,1,"+0.3 speed, +0.2 shot speed.",Speed + shot speed up,2
Spelunker Hat,5.100.91,1,"Reveals type of adjacent rooms, including location for  Secret Rooms and  Super Secret Rooms.  Reveals rooms up to 2 rooms away and blocks projectiles falling from above.",See-through doors,2
Spider Bite,5.100.89,1,"Adds a chance to shoot slowing tears, reducing speed of enemy movement and any projectile fired by them.",Slow effect,2
Spiderbaby,5.100.211,1,Spawns 1-2 Blue Spiders when Isaac takes damage. Spawns 3-5 Blue Spiders when Isaac takes damage.,Spider revenge,0
Spoon Bender,5.100.3,1,Grants Isaac homing tears.,Homing shots,3
Stem Cells,5.100.176,1,Grants one full Red Heart container and +0.16 shot speed.  Heals 1 additional   Red Heart,HP + shot speed up,1
Stigmata,5.100.138,1,"+0.3 damage, grants one full Red Heart container.  Heals 1 additional   Red Heart.",DMG + HP up,2
Strange Attractor,5.100.315,1,"Pickups, trinkets, and monsters are magnetically attracted to Isaac's tears.",Magnetic tears,0
Super Bandage,5.100.92,1,Grants one full Red Heart container and 2   Soul Hearts.,+2 hearts,2
Taurus,5.100.299,1,"-0.3 Speed. Isaac builds speed while in a room with enemies. At max speed, he gains the  My Little Unicorn effect for 5 seconds.",Speed down + rage is building,1
Tech.5,5.100.244,1,"Isaac occasionally fires an unlimited range piercing laser alongside his normal tears. The laser can glitch, mimicking the effects of certain items and trinkets.",It's still being tested...,3
Technology 2,5.100.152,1,Replaces the tears fired from Isaac's right eye with a rapid-firing low damage piercing laser.  Damage down.,Extra laser,2
Technology,5.100.68,1,Replaces tears with a piercing laser with unlimited range.,Laser tears,3
Thunder Thighs,5.100.314,1,Destroys rocks upon contact with Isaac. Adds one Red Heart container and lowers Speed.,HP up + speed down + you feel stompy,1
Tiny Planet,5.100.233,1,Massively increases Range and grants spectral tears. Tears orbit around Isaac at a fixed distance until they hit the ground.,Orbiting tears + range up,0
Tough Love,5.100.150,1,"Adds a chance to shoot a tooth instead of a tear, which deals x3.2 Isaac's damage.",Tooth shot,3
Virgo,5.100.303,1,Adds a chance to give a shield that nullifies all incoming damage for 10 seconds upon taking damage. Also converts bad pills into good pills.,You feel refreshed and protected,2
The Virus,5.100.13,1,Isaac poisons enemies on contact.  -0.1 speed.  +0.2 speed.  Poisoned enemies have a chance to drop a black heart when killed.,Poison touch + speed up,2
The Wafer,5.100.108,1,Most sources of damage that would cause more than one-half heart of damage are reduced to one-half heart instead.,Damage resistance,4
X-Ray Vision,5.100.76,1,Reveals and opens all  Secret Room and  Super Secret Room entrances.,I've seen everything,2
The Halo,5.100.101,0.5,"Grants one full Red Heart container, +0.3 damage, +0.2 tears, +0.25 range, +0.3 speed, and +0.5 tear falling speed. Grants one full Red Heart container, +0.3 damage, +0.2 tears, +1.5 range, and +0.3 speed. Heals 1 additional   Red Heart.",All stats up,2
Magic Mushroom,5.100.12,0.5,"Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +5.25 Range, and +0.3 Speed, and restores all Health. Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +2.5 Range, and +0.3 Speed, and restores all Health.",All stats up!,4
The Body,5.100.334,0.2,Adds 3 Red Heart Containers.,I feel all,3
Death's Touch,5.100.237,0.2,"+1.5 damage, -0.3 tears. Tears are replaced with large piercing scythes.",Piercing shots + DMG up,3
Holy Mantle,5.100.313,0.2,"Grants a shield that negates the first instance of damage taken, once per room. Does not apply to or negate self-damage ( Blood Donation Machines, etc).",Holy shield,4
The Mind,5.100.333,0.2,"Reveals the entire map, including all special rooms and  Secret Rooms.",I know all,3
Mom's Knife,5.100.114,0.2,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.",Stab stab stab,4
The Relic,5.100.98,0.2,Spawns a cross familiar that drops a   Soul Heart after clearing enough rooms.,Soul generator,3
The Soul,5.100.335,0.2,Grants two   Soul Hearts. Isaac gains a pulsing aura that repels enemies and projectiles.,I am all,3
Epic Fetus,5.100.168,0.1,"Isaac's tears are replaced with guided missiles, like those used by the  Doctor's Remote.",On-demand air strike,4
Pyro,5.100.190,0.1,Grants 99   Bombs.,99 bombs,3
A Quarter,5.100.74,1,Gives Isaac 25   coins.,+25 coins,0
Judas' Shadow,5.100.311,1,"Upon death, respawns Isaac as   Dark Judas with two   Black Hearts in the previous room.",Sweet revenge,3
8 Inch Nails,5.100.359,1,"+1.5 damage. Replaces Isaac's tears with nails, which have increased knockback.",Stick it to 'em!,3
Betrayal,5.100.391,1,"Charms all enemies in the room when Isaac takes damage. Enemies are able to damage each other. If an enemy is damaged by another enemy, they will attack that enemy instead of Isaac.",Turn your enemy,1
Bomber Boy,5.100.353,1,+5   Bombs. Isaac's bombs will now explode in a large cross-shaped pattern (roughly 5 bombs explosions wide). This also affects player-spawned   Troll Bombs.,Cross blast + 5 bombs,2
Bumbo,5.100.385,1,"Spawns a beggar familiar which picks up any nearby coins, leveling up after collecting several coins. At level 2, Bumbo gains a body. At level 3, it begins to fire tears. At level 4, Bumbo follows enemies and gains contact damage.",Bumbo want coin!,1
Bursting Sack,5.100.377,1,Spider enemies no longer target or deal contact damage to Isaac.,Spider love,1
Continuum,5.100.369,1,Grants spectral tears and increases range. Tears travel through walls and appear at the opposite side of the room.,Transcendent tears,2
Curse of the Tower,5.100.371,1,"Upon taking damage, spawns six   Troll Bombs around the room, similar to the effect of  XVI - The Tower.",Embrace chaos,0
Dead Eye,5.100.373,1,Isaac's damage increases each time an enemy is hit. Damage is reset upon missing a shot.,Accuracy brings power!,3
Eden's Blessing,5.100.381,1,+0.7 tears up. Grants a random item at the start of the next run.,Tears up + your future shines brighter,3
Epiphora,5.100.368,1,"Shooting in one direction increases Isaac's rate of fire until the cap is reached. As soon as Isaac changes direction or stops shooting, rate of fire is reset to its normal amount.",Intensifying tears,2
Evil Eye,5.100.410,1,Adds a chance to fire a slow-moving eye that fires tears in the same direction as Isaac. The eye is destroyed when it hits an enemy or obstacle.,Eye shot!,2
Explosivo,5.100.401,1,Isaac's tears have a chance to stick to enemies and explode.,Sticky bomb shot!,3
Farting Baby,5.100.404,1,"Spawns a familiar that follows Isaac and blocks enemy shots. If a shot hits Farting Baby, it has a chance to fart, which charms, poisons, or knocks back nearby enemies.",He farts!,1
Fate's Reward,5.100.361,1,A blue head familiar that will follow Isaac and fire tears copying his tear effects and damage.,Your fate beside you,2
Friend Zone,5.100.364,1,"Spawns a white attack fly that orbits somewhere between  Distant Admiration and  Forever Alone, dealing 45 damage per second.",Friendly fly,1
Fruit Cake,5.100.418,1,Isaac's tears gain a random effect that changes every shot.,Rainbow effects!,2
GB Bug,5.100.405,1,"Spawns a familiar that bounces diagonally around the room, applying a random status effect to enemies it hits and has a chance to re-roll pickups it passes over. Spawns a familiar that follows Isaac. Double tapping the fire button launches it forward, causing it to reroll the first monster or pickup it hits.",Double tap glitch,1
Glitter Bombs,5.100.432,1,+5   Bombs. Bombs have a chance to drop random pickups or charm enemies when they explode.,Prize bombs!,2
God's Flesh,5.100.398,1,"Tears have a chance to shrink enemies, making them run away from Isaac. Shrunk enemies can be crushed and killed by walking over them.",Shrink shot!,1
Host Hat,5.100.375,1,A host familiar that sits on Isaac's head and has a random chance to block enemy shots and retaliate with 3 tears. Grants immunity to explosions.,Blast resistance,3
Key Bum,5.100.388,1,"Spawns a familiar that follows Isaac and collects   Keys for himself, giving random   Chests in return.",He wants your keys!,0
Kidney Stone,5.100.440,1,"Randomly while firing tears, Isaac will stop firing and turn red, where he will charge and release a lot of 'tears' in one go. The burst of tears also includes a kidney stone, which deals a lot of damage.",Matt's kidney stone,2
Lil Chest,5.100.362,1,Spawns a chest familiar that spawns a random pickup (25% chance) or trinket (10% chance) upon clearing a room.,What's in the box?,2
Lil Gurdy,5.100.384,1,"A   Gurdy Jr. familiar that charges up while Isaac is firing, bouncing around the room when released and dealing contact damage based on its speed.",A gurd of your own!,2
Lil Loki,5.100.435,1,Spawns a Loki familiar that follows Isaac and fires 4 tears in a cross pattern.,4-way buddy!,1
Lost Fly,5.100.365,1,"Spawns fly familiar that moves in a straight line and circles around the first wall or obstacle it hits, dealing 105 damage per second on contact. Spawns fly familiar that moves in a straight line and circles around the first wall or obstacle it hits, dealing 56 damage per second and forcing nearby enemies to attack it.",Lost protector,2
Lusty Blood,5.100.411,1,Isaac's damage increases for the current room each time he kills an enemy.,Their blood brings rage!,3
Marked,5.100.394,1,"Isaac will automatically fire tears directed at a red target on the ground. The target can be moved with tear controls. +0.7 tears, increases range.",Directed tears,1
Milk!,5.100.436,1,"Spawns a glass familiar that spills on the floor upon taking damage.  After the milk spills, Isaac's tear delay is decreased by 2 for the current room.  After the milk spills, Isaac's fire rate is increased by 1 for the current room.",Don't cry over it...,1
Multidimensional Baby,5.100.431,1,Spawns a familiar that will follow Isaac's movements on a 2.5-second delay. Tears that pass through the baby will be doubled and increase in speed.,ydduB Buddy,2
Number Two,5.100.378,1,"Continuously firing tears for three seconds causes Isaac to drop a Butt Bomb, which damages and confuses all enemies in the room when it explodes.",Uh oh...,2
Obsessed Fan,5.100.426,1,Spawns a familiar that follows Isaac's movements on a delay and deals 30 contact damage per second to enemies.,Follows my every move...,0
Papa Fly,5.100.430,1,"Spawns a familiar that follows Isaac's movements on a 3 second delay, firing tears at nearby enemies.",Turret follower,1
Pupula Duplex,5.100.379,1,"Gives Isaac spectral tears and gives his tears a wide arc shape, increasing their size.",Wide shot,2
