Name,ID,Weight,Price,Description
Lemegeton,5.100.712,0.5,,"Spawns a wisp representing a random passive item, which orbits Isaac but can be destroyed. While the wisp is alive, Isaac gains that item's effects. Generation uses the current room's item pool 25% of the time, otherwise a random pool."
Forget Me Now,5.100.127,0.2,,"On use, re-generates the current floor with a new layout. Isaac loses Forget Me Now, but keeps other items and consumables picked up on the original floor."
Abaddon,5.100.230,1,,"+1.5 damage, +0.2 speed. Removes all Red Heart containers, grants six  Black Hearts, and adds a chance to shoot fear tears. +1.5 damage, +0.2 speed. Grants two  Black Hearts, converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears."
Bloody Lust,5.100.157,1,,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor."
Brimstone,5.100.118,1,,Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.
Brother Bobby,5.100.8,1,,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage.  He shoots more frequently than most familiars.
Ceremonial Robes,5.100.216,1,,"Grants 3   Black Hearts, and +1 damage."
Contract From Below,5.100.241,1,,"Doubles the number of most room clear awards, but reduces the overall chance of getting one by 1/3."
Dark Bum,5.100.278,1,,"Spawns a familiar that follows Isaac around and collects   Red Hearts. For every 1½ Red Hearts collected, Dark Bum will give a reward."
Dark Matter,5.100.259,1,,"+1 damage, adds a chance to shoot fear tears."
Dead Cat,5.100.81,1,,"Sets Isaac's Red Heart Containers to 1, but grants 9 extra lives. After dying, Isaac respawns with 1 Red Heart Container."
Death's Touch,5.100.237,1,,"+1.5 damage, -0.3 tears. Tears are replaced with large piercing scythes."
Demon Baby,5.100.113,1,,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.
Ghost Baby,5.100.163,1,,Spawns a familiar that follows Isaac around and fires spectral tears.
Gimpy,5.100.225,1,,Gives chance of spawning a   Soul Heart when taking damage. Enemies have a chance to drop a   Half Red Heart after being killed.
Goat Head,5.100.215,1,,"A  Devil Room /  Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4."
Guppy's Collar,5.100.212,1,,Grants a permanent 50% chance to respawn with 1/2 of a   Red Heart after death.
Guppy's Hair Ball,5.100.187,1,,"Spawns a familiar that loosely follows behind Isaac, which blocks shots can be swung like a flail to damage enemies. Grows bigger by killing enemies."
Guppy's Tail,5.100.134,1,,Room Clear Awards have a 1/3 chance of being replaced with a   Chest and a 2/9 chance being replaced with nothing.
Headless Baby,5.100.269,1,,"Spawns a familiar that follows Isaac, leaving blood creep on the ground."
Judas' Shadow,5.100.311,1,,"Upon death, respawns Isaac as   Dark Judas with two   Black Hearts in the previous room."
Lil Brimstone,5.100.275,1,,Grants a familiar that charges a thin  Brimstone laser while Isaac is shooting.
Lord of the Pit,5.100.82,1,,Grants flight and +0.3 speed.
The Mark,5.100.79,1,,"Grants one   Soul Heart, +1 damage, and +0.2 speed. Grants one   Black Heart, +1 damage, and +0.2 speed."
Missing Page 2,5.100.262,1,,"Grants one   Black Heart. Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room.  Increases the damage of   Black Hearts and  The Necronomicon-like effects by 40."
Mom's Knife,5.100.114,1,,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power."
The Pact,5.100.80,1,,"Grants two   Soul Hearts, +0.5 damage, and +0.7 tears. Grants two   Black Hearts, +0.5 damage, and +0.7 tears."
Pentagram,5.100.51,1,,"+1 damage, increases  Devil Room /  Angel Room chance by 10%."
Rotten Baby,5.100.268,1,,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.
Sacrificial Dagger,5.100.172,1,,"Spawns a dagger orbital familiar, blocking enemy shots and dealing a high amount of damage to enemies in contact."
Sister Maggy,5.100.67,1,,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.
Spirit of the Night,5.100.159,1,,Grants spectral tears and flight.
Whore of Babylon,5.100.122,1,,Grants +1.5 Damage and +0.3 Speed whenever Isaac has a   Half Red Heart or less.
Athame,5.100.408,1,,"When Isaac takes damage, a damaging black ring briefly appears around him. This ring can cause enemies to drop   Black Hearts. After Isaac kills an enemy, adds a luck-based chance to spawn a damaging black ring around them."
Betrayal,5.100.391,1,,"Charms all enemies in the room when Isaac takes damage. Enemies are able to damage each other. If an enemy is damaged by another enemy, they will attack that enemy instead of Isaac."
Black Powder,5.100.420,1,,"Isaac leaves a trail of black powder on the floor. Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it."
Cambion Conception,5.100.412,1,,"After taking damage a certain amount of times, a permanent demonic familiar spawns."
Empty Vessel,5.100.409,1,,"Grants two   Black Hearts. While Isaac has no red hearts, grants flight and periodically grants an invincibility shield for a few seconds."
Incubus,5.100.360,1,,"Spawns a demonic familiar that shoots tears identical to Isaac's in terms of damage, tears, and tear effects."
Maw of the Void,5.100.399,1,,"Charged by firing for 2.5 seconds and when released, creates a black ring around Isaac that rapidly deals damage.  +1 damage, the ring can cause enemies to drop  Black Hearts."
Multidimensional Baby,5.100.431,1,,Spawns a familiar that will follow Isaac's movements on a 2.5-second delay. Tears that pass through the baby will be doubled and increase in speed.
My Shadow,5.100.433,1,,Inflicts fear on all enemies in the room upon taking damage and spawns black friendly Chargers that attack enemies.Spawns a shadow familiar that closely follows behind Isaac. It spawns a black friendly Charger whenever an enemy touches it.
Succubus,5.100.417,1,,"Spawns a flying familiar that bounces around the room with a black aura, dealing rapid damage to any enemies inside it. While standing in the aura, Isaac gains a 1.5x tear damage multiplier."
7 Seals,5.100.526,1,,Spawns a random Harbinger familiar that changes every 10 seconds. Harbingers have different behaviors and spawn themed Locusts.
Dark Prince's Crown,5.100.442,1,,"When at exactly one   Red Heart, increases tears, range, tear falling speed, and shot speed. When at exactly one   Red Heart, increases fire rate, range, and shot speed."
Death's List,5.100.530,1,,Grants a pickup or stat upgrade if all enemies in a room are killed in the order they are marked.
Duality,5.100.498,1,,"Whenever a  Devil Room or  Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered."
Eye of Belial,5.100.462,1,,"Grants piercing tears. After piercing one enemy, tears start homing and deal double damage."
Lil Delirium,5.100.519,1,,Grants a familiar that transforms into another random familiar every 10 seconds.
Shade,5.100.468,1,,"Spawns a shadow familiar that follows Isaac's movements on a 1 second delay and deals contact damage to enemies. After dealing enough damage, it is absorbed by Isaac and spawns friendly  Chargers."
2Spooky,5.100.554,1,,Enemies near Isaac are afflicted with fear.
Azazel's Rage,5.100.699,1,,"Isaac builds rage every time a room is cleared. After four rooms, fires a large Brimstone laser when entering the next room."
Backstabber,5.100.506,1,,Isaac's tears deal double damage and inflict bleeding on enemies if they're facing away from Isaac.
Blood Oath,5.100.569,1,,"Stabs Isaac at the beginning of each floor, draining his   Red Hearts. Increases damage and speed for the floor based on the amount drained."
Bloody Gust,5.100.695,1,,"The first 6 times Isaac takes damage on a given floor, he gains Speed and Fire Rate for the rest of the floor, up to a maximum of +1.02 and +3.00, respectively."
Brimstone Bombs,5.100.646,1,,+5   Bombs. Bombs fire four  Brimstone lasers in the cardinal directions upon exploding.
Eye of the Occult,5.100.572,1,,"+1 damage, +2 range, -0.16 shot speed. Isaac's tears can be controlled mid-flight with tear controls."
False PHD,5.100.654,1,,Converts good pills into bad pills and identifies all pills. Bad pills now have secondary positive effects. Grants one   Black Heart.
Guppy's Eye,5.100.665,1,,"Shows the contents of   Chests,   Fire Places,   Grab Bags, and   Shopkeepers before they're opened/destroyed."
Hungry Soul,5.100.684,1,,"Enemies have a chance to spawn ghosts on death, which chase and deal contact damage to enemies and explode after a short time."
Lil Abaddon,5.100.679,1,,Spawns a familiar that charges a miniature  Maw of the Void attack while Isaac shoots.
Little Horn,5.100.503,1,,"Adds a chance to fire a piercing tear that instantly kills any enemy that it touches. Adds a chance to fire a tear that summons Big Horn's hand to crush the first enemy it hits, instantly killing monsters or greatly damaging bosses."
Lusty Blood,5.100.411,1,,Isaac's damage increases for the current room each time he kills an enemy.
Ocular Rift,5.100.606,1,,"Gives Isaac the chance to fire tears that create rifts where they land, which damage nearby enemies and pull in enemies, pickups, and tears/shots from all sources."
Ouija Board,5.100.115,1,,Grants spectral tears that travel through obstacles (but not enemies).  +0.5 tears.
A Pound of Flesh,5.100.672,1,,"Devil deals now cost   Coins,  Shop items now cost health, and consumables in shops are free but surrounded by spikes."
Purgatory,5.100.634,1,,"While in a room with enemies, spawns cracks on the ground. Walking over these cracks summons ghosts that launch themselves at enemies and explode."
A Quarter,5.100.74,1,,Gives Isaac 25   coins.
Sanguine Bond,5.100.692,1,,Spawns a special set of spikes in the  Devil Room. Taking damage from the spikes has a chance to grant a reward.
Twisted Pair,5.100.698,1,,"Spawns two familiars that float on either side of Isaac and fire tears that use his tears, range, shot speed, and tear effects, and scale with damage."
Vengeful Spirit,5.100.702,1,,"After taking damage, spawns an orbital wisp that lasts for the entire floor, up to a maximum of six. They fire tears but do not block shots."
Heartbreak,5.100.694,0.5,,Grants 3 broken hearts and +0.25 damage for every broken heart Isaac has. Every otherwise fatal hit will add 2 more until Isaac has nothing but broken hearts.
